customer_id,tenure_months,monthly_spend,num_support_tickets,last_login_days_ago,feature_adoption_score,plan_type,contract_type,region,has_referral,num_integrations,churned
C00000,52,213.12,1,35,0.268,Free,Annual,EMEA,0,12,0
C00001,15,141.39,2,17,0.1,Free,Month-to-Month,LATAM,1,4,1
C00002,61,73.17,4,79,0.051,Starter,Two-Year,LATAM,0,7,0
C00003,21,206.84,1,68,0.211,Free,Month-to-Month,NA,0,13,0
C00004,24,158.48,1,71,0.14,Free,Two-Year,EMEA,0,1,0
C00005,3,170.85,0,83,0.42,Starter,Month-to-Month,NA,0,2,1
C00006,22,41.11,2,72,0.291,Starter,Month-to-Month,EMEA,0,9,0
C00007,53,115.93,1,81,0.209,Pro,Annual,APAC,0,0,0
C00008,2,18.25,2,75,0.142,Pro,Month-to-Month,NA,0,1,1
C00009,30,206.35,3,24,0.415,Pro,Two-Year,APAC,0,7,0
C00010,38,89.77,1,52,0.309,Enterprise,Two-Year,LATAM,0,4,0
C00011,2,209.08,1,17,0.122,Free,Two-Year,EMEA,0,5,0
C00012,64,28.46,2,65,0.691,Enterprise,Annual,EMEA,0,10,1
C00013,60,16.76,0,34,0.729,Pro,Month-to-Month,NA,0,13,0
C00014,21,140.14,0,39,0.348,Free,Annual,LATAM,1,7,0
C00015,33,7.22,2,10,0.143,Pro,Month-to-Month,EMEA,0,4,1
C00016,58,33.56,2,48,0.09,Pro,Two-Year,EMEA,1,0,0
C00017,22,287.25,4,23,0.264,Free,Month-to-Month,LATAM,1,6,0
C00018,49,17.09,2,50,0.513,Free,Annual,LATAM,0,1,1
C00019,59,56.51,2,18,0.072,Free,Month-to-Month,LATAM,1,6,0
C00020,42,349.33,4,36,0.252,Enterprise,Month-to-Month,LATAM,0,13,0
C00021,60,2.42,1,14,0.069,Pro,Month-to-Month,NA,0,2,0
C00022,15,70.72,0,88,0.417,Pro,Annual,EMEA,0,5,0
C00023,62,185.27,0,57,0.215,Free,Annual,APAC,1,2,1
C00024,62,287.6,1,67,0.121,Free,Two-Year,EMEA,0,9,1
C00025,47,159.62,2,32,0.433,Starter,Month-to-Month,LATAM,0,4,1
C00026,62,263.13,2,37,0.298,Free,Month-to-Month,NA,0,9,0
C00027,51,4.2,5,11,0.25,Starter,Month-to-Month,APAC,0,13,0
C00028,55,12.63,3,19,0.384,Pro,Month-to-Month,EMEA,0,0,0
C00029,64,160.6,0,50,0.367,Starter,Month-to-Month,LATAM,0,9,1
C00030,3,167.96,3,54,0.381,Pro,Month-to-Month,APAC,0,2,0
C00031,51,111.55,4,77,0.161,Starter,Month-to-Month,EMEA,0,13,1
C00032,7,157.24,0,70,0.078,Starter,Month-to-Month,EMEA,0,8,1
C00033,21,234.28,4,11,0.337,Free,Month-to-Month,LATAM,0,10,0
C00034,39,94.62,0,49,0.489,Starter,Month-to-Month,LATAM,1,5,1
C00035,18,353.23,1,60,0.067,Pro,Annual,NA,1,9,0
C00036,4,142.19,1,29,0.093,Pro,Two-Year,APAC,0,1,0
C00037,60,76.64,3,52,0.166,Pro,Month-to-Month,EMEA,1,14,0
C00038,14,65.68,2,23,0.398,Pro,Annual,NA,0,0,0
C00039,9,166.44,1,78,0.225,Starter,Two-Year,APAC,0,10,1
C00040,53,119.46,1,89,0.106,Pro,Annual,LATAM,1,9,1
C00041,2,204.08,3,45,0.376,Free,Month-to-Month,LATAM,1,10,1
C00042,60,182.23,2,35,0.108,Free,Annual,EMEA,1,5,0
C00043,71,89.13,1,21,0.37,Enterprise,Annual,LATAM,1,14,0
C00044,44,349.59,0,11,0.255,Starter,Month-to-Month,NA,1,1,0
C00045,8,146.19,0,31,0.085,Free,Month-to-Month,EMEA,1,11,1
C00046,47,26.9,3,15,0.298,Enterprise,Month-to-Month,EMEA,0,1,0
C00047,35,115.63,1,0,0.287,Free,Two-Year,LATAM,1,4,0
C00048,36,27.05,0,47,0.258,Free,Two-Year,APAC,1,4,0
C00049,50,98.2,0,78,0.062,Free,Month-to-Month,APAC,1,3,0
C00050,4,187.24,2,19,0.224,Pro,Month-to-Month,LATAM,0,14,1
C00051,2,200.88,0,52,0.072,Free,Month-to-Month,NA,0,12,1
C00052,6,126.26,0,54,0.29,Free,Annual,EMEA,0,13,0
C00053,54,183.51,5,64,0.396,Starter,Annual,LATAM,1,1,0
C00054,4,76.69,4,43,0.09,Enterprise,Month-to-Month,EMEA,1,13,1
C00055,54,96.0,0,65,0.152,Free,Month-to-Month,EMEA,0,12,0
C00056,63,254.04,0,13,0.253,Starter,Month-to-Month,EMEA,0,14,0
C00057,18,81.53,1,47,0.265,Enterprise,Annual,LATAM,0,8,0
C00058,44,51.87,2,87,0.467,Free,Month-to-Month,APAC,0,13,1
C00059,34,191.34,3,29,0.377,Pro,Month-to-Month,APAC,0,2,0
C00060,62,6.22,0,52,0.084,Starter,Two-Year,APAC,1,10,1
C00061,14,381.43,2,68,0.073,Free,Annual,EMEA,1,2,1
C00062,48,49.87,1,46,0.124,Free,Annual,APAC,0,5,1
C00063,15,119.19,2,12,0.254,Pro,Annual,LATAM,0,4,1
C00064,62,138.8,1,17,0.211,Free,Two-Year,APAC,1,2,0
C00065,40,17.69,0,67,0.121,Starter,Month-to-Month,LATAM,1,8,0
C00066,53,207.7,3,16,0.233,Starter,Annual,APAC,0,4,0
C00067,24,101.87,2,36,0.164,Pro,Month-to-Month,NA,0,12,0
C00068,26,47.69,5,1,0.252,Free,Two-Year,LATAM,1,3,1
C00069,60,228.2,4,15,0.188,Pro,Month-to-Month,APAC,0,6,0
C00070,41,117.73,3,6,0.194,Free,Month-to-Month,LATAM,1,2,0
C00071,29,184.89,1,11,0.251,Free,Annual,NA,0,11,0
C00072,15,584.14,2,58,0.254,Free,Month-to-Month,NA,1,2,1
C00073,45,16.75,1,45,0.062,Free,Two-Year,LATAM,1,12,0
C00074,65,166.16,2,37,0.074,Pro,Two-Year,EMEA,1,6,0
C00075,71,170.1,4,44,0.276,Enterprise,Month-to-Month,NA,0,6,0
C00076,9,249.24,2,31,0.503,Starter,Month-to-Month,LATAM,0,12,1
C00077,1,62.92,3,25,0.431,Starter,Annual,APAC,0,8,0
C00078,8,244.51,0,68,0.184,Starter,Two-Year,LATAM,0,0,1
C00079,63,122.56,0,53,0.222,Starter,Month-to-Month,EMEA,0,8,1
C00080,11,8.55,0,41,0.26,Starter,Month-to-Month,APAC,0,12,0
C00081,8,3.84,2,79,0.536,Starter,Month-to-Month,NA,1,14,0
C00082,35,78.81,1,28,0.273,Free,Annual,LATAM,0,6,0
C00083,35,184.92,3,23,0.375,Free,Annual,NA,0,0,0
C00084,33,58.19,2,75,0.21,Free,Month-to-Month,EMEA,1,0,0
C00085,5,229.13,3,34,0.274,Free,Month-to-Month,NA,1,3,0
C00086,41,81.3,2,72,0.426,Pro,Month-to-Month,NA,0,6,0
C00087,28,3.2,0,13,0.037,Free,Month-to-Month,LATAM,0,12,0
C00088,7,436.42,2,66,0.337,Starter,Annual,EMEA,0,6,0
C00089,12,80.71,1,87,0.037,Free,Annual,EMEA,0,9,0
C00090,34,126.03,1,37,0.135,Starter,Month-to-Month,APAC,0,2,0
C00091,33,26.67,3,36,0.211,Pro,Month-to-Month,APAC,0,9,0
C00092,48,42.34,0,32,0.065,Free,Month-to-Month,EMEA,1,5,1
C00093,23,79.46,1,79,0.313,Starter,Annual,NA,1,7,1
C00094,62,232.71,2,14,0.3,Starter,Month-to-Month,APAC,1,12,0
C00095,37,12.9,1,75,0.211,Free,Annual,EMEA,1,8,0
C00096,44,181.88,2,17,0.371,Free,Month-to-Month,EMEA,0,8,0
C00097,35,103.91,1,61,0.271,Free,Month-to-Month,LATAM,0,7,1
C00098,65,83.1,0,69,0.51,Starter,Month-to-Month,LATAM,1,10,0
C00099,47,251.07,0,55,0.33,Free,Month-to-Month,EMEA,0,12,1
C00100,3,15.08,0,80,0.244,Starter,Annual,APAC,1,6,0
C00101,1,562.03,4,54,0.067,Starter,Annual,NA,0,2,1
C00102,5,231.42,0,81,0.476,Starter,Two-Year,LATAM,0,5,1
C00103,14,47.3,3,77,0.405,Starter,Month-to-Month,LATAM,1,2,0
C00104,27,72.08,2,3,0.183,Free,Month-to-Month,NA,0,1,0
C00105,9,3.04,1,45,0.376,Starter,Month-to-Month,EMEA,1,7,0
C00106,15,89.99,2,59,0.148,Enterprise,Month-to-Month,LATAM,0,4,1
C00107,42,95.21,1,86,0.103,Pro,Month-to-Month,APAC,0,6,1
C00108,51,313.38,1,16,0.032,Free,Annual,APAC,0,8,0
C00109,63,58.91,0,78,0.136,Pro,Annual,LATAM,1,3,1
C00110,52,101.45,1,75,0.382,Enterprise,Month-to-Month,LATAM,0,13,0
C00111,4,161.93,2,84,0.402,Starter,Annual,EMEA,1,7,0
C00112,23,112.54,1,41,0.227,Starter,Month-to-Month,EMEA,0,2,0
C00113,15,20.38,2,3,0.311,Free,Month-to-Month,APAC,0,6,0
C00114,43,22.62,1,82,0.183,Free,Annual,APAC,0,12,0
C00115,29,17.87,2,81,0.301,Pro,Month-to-Month,LATAM,0,14,0
C00116,36,29.47,1,42,0.463,Pro,Month-to-Month,LATAM,0,0,0
C00117,13,47.76,0,39,0.234,Free,Annual,APAC,1,3,0
C00118,32,161.5,2,60,0.618,Starter,Two-Year,NA,0,2,0
C00119,71,7.54,2,40,0.489,Enterprise,Annual,LATAM,0,3,0
C00120,59,206.07,3,21,0.372,Free,Annual,APAC,0,4,0
C00121,28,36.53,3,57,0.469,Pro,Annual,NA,0,6,0
C00122,66,114.05,1,11,0.087,Pro,Month-to-Month,LATAM,0,10,0
C00123,42,96.56,1,39,0.263,Pro,Annual,APAC,1,2,0
C00124,45,20.07,2,20,0.241,Pro,Month-to-Month,APAC,1,12,0
C00125,62,40.64,3,26,0.215,Starter,Two-Year,NA,0,4,0
C00126,57,42.1,1,77,0.025,Free,Annual,EMEA,1,4,0
C00127,6,117.33,0,34,0.335,Pro,Annual,LATAM,0,4,0
C00128,28,186.42,1,59,0.667,Pro,Two-Year,NA,0,13,0
C00129,28,671.56,2,85,0.263,Free,Month-to-Month,EMEA,0,5,0
C00130,44,12.1,0,32,0.213,Free,Month-to-Month,APAC,0,5,1
C00131,30,334.97,4,72,0.374,Free,Two-Year,EMEA,1,2,1
C00132,62,98.93,1,0,0.335,Free,Month-to-Month,EMEA,1,12,0
C00133,62,52.95,2,55,0.65,Pro,Month-to-Month,LATAM,0,14,0
C00134,1,40.19,1,2,0.133,Pro,Two-Year,APAC,1,3,0
C00135,27,28.14,0,25,0.135,Starter,Two-Year,LATAM,1,11,0
C00136,62,97.72,2,20,0.047,Free,Annual,APAC,1,13,0
C00137,3,350.29,2,20,0.618,Pro,Month-to-Month,EMEA,0,13,0
C00138,70,24.13,1,82,0.201,Free,Two-Year,APAC,0,14,1
C00139,27,68.76,2,30,0.423,Free,Two-Year,APAC,0,4,0
C00140,9,27.36,1,84,0.71,Free,Month-to-Month,EMEA,1,8,0
C00141,62,23.18,6,89,0.449,Free,Two-Year,LATAM,0,1,0
C00142,37,241.86,1,46,0.289,Pro,Month-to-Month,EMEA,0,2,0
C00143,51,36.45,1,43,0.683,Free,Annual,NA,0,4,0
C00144,44,34.2,2,53,0.148,Pro,Month-to-Month,APAC,1,2,0
C00145,24,288.68,5,51,0.113,Free,Month-to-Month,NA,0,5,1
C00146,59,58.54,0,20,0.473,Starter,Annual,APAC,0,5,0
C00147,32,1.05,1,36,0.242,Starter,Month-to-Month,NA,0,5,0
C00148,52,153.27,4,41,0.471,Pro,Month-to-Month,NA,0,4,0
C00149,62,87.33,3,71,0.426,Free,Annual,APAC,0,7,0
C00150,58,178.54,0,14,0.172,Free,Month-to-Month,APAC,0,14,0
C00151,52,101.36,3,58,0.133,Free,Month-to-Month,LATAM,0,14,0
C00152,12,51.93,4,51,0.216,Pro,Month-to-Month,EMEA,1,3,0
C00153,39,8.27,1,24,0.427,Starter,Month-to-Month,LATAM,1,12,0
C00154,2,241.13,3,73,0.174,Starter,Month-to-Month,EMEA,0,3,0
C00155,3,27.84,0,78,0.323,Enterprise,Annual,EMEA,0,9,0
C00156,56,426.3,3,26,0.417,Starter,Annual,LATAM,1,1,0
C00157,59,33.86,0,66,0.093,Starter,Month-to-Month,LATAM,1,2,0
C00158,2,210.56,1,56,0.176,Starter,Annual,LATAM,0,0,0
C00159,2,186.56,0,52,0.5,Starter,Annual,NA,0,5,0
C00160,54,74.55,2,36,0.267,Free,Two-Year,LATAM,0,10,0
C00161,1,61.64,1,62,0.159,Pro,Month-to-Month,LATAM,0,3,0
C00162,19,145.79,4,40,0.417,Free,Month-to-Month,NA,1,10,0
C00163,2,90.23,0,65,0.159,Starter,Annual,LATAM,0,6,1
C00164,53,119.95,0,20,0.103,Starter,Annual,NA,1,9,0
C00165,44,76.23,3,0,0.131,Starter,Month-to-Month,APAC,1,6,0
C00166,32,97.74,0,87,0.076,Pro,Annual,EMEA,1,7,0
C00167,70,25.16,1,73,0.448,Starter,Month-to-Month,NA,1,6,0
C00168,32,6.84,2,14,0.472,Free,Annual,EMEA,0,10,0
C00169,68,52.79,2,66,0.324,Pro,Month-to-Month,APAC,0,9,0
C00170,55,75.25,1,28,0.542,Enterprise,Month-to-Month,EMEA,1,8,0
C00171,56,283.77,0,79,0.293,Free,Two-Year,APAC,1,9,1
C00172,17,64.12,1,55,0.126,Starter,Month-to-Month,EMEA,0,13,0
C00173,38,68.28,1,49,0.346,Free,Annual,NA,1,2,0
C00174,24,134.81,0,57,0.336,Free,Month-to-Month,APAC,1,13,0
C00175,69,27.8,1,69,0.316,Starter,Month-to-Month,LATAM,0,7,0
C00176,70,246.35,1,67,0.432,Free,Month-to-Month,APAC,0,0,1
C00177,11,66.96,0,11,0.347,Pro,Month-to-Month,APAC,0,5,0
C00178,16,320.47,1,68,0.264,Starter,Annual,APAC,0,9,0
C00179,59,37.97,0,66,0.07,Starter,Annual,LATAM,0,3,1
C00180,70,75.19,0,56,0.419,Free,Month-to-Month,LATAM,0,1,0
C00181,3,180.7,1,34,0.058,Free,Two-Year,NA,1,7,1
C00182,20,97.41,1,59,0.061,Starter,Month-to-Month,EMEA,1,13,0
C00183,59,129.9,1,60,0.197,Starter,Annual,EMEA,0,9,0
C00184,36,39.54,2,48,0.316,Free,Annual,LATAM,0,1,1
C00185,19,47.78,0,78,0.23,Pro,Annual,EMEA,0,8,1
C00186,67,85.02,4,53,0.373,Enterprise,Annual,APAC,1,14,0
C00187,19,27.15,0,30,0.18,Starter,Month-to-Month,APAC,1,3,1
C00188,20,16.2,2,60,0.203,Free,Month-to-Month,NA,0,8,1
C00189,71,222.8,1,81,0.139,Free,Month-to-Month,APAC,0,11,1
C00190,52,178.92,1,87,0.444,Starter,Two-Year,NA,0,4,0
C00191,33,322.69,2,58,0.568,Starter,Two-Year,EMEA,0,1,0
C00192,40,105.99,2,80,0.402,Pro,Two-Year,APAC,0,7,1
C00193,39,65.42,1,19,0.071,Starter,Month-to-Month,EMEA,0,1,0
C00194,1,13.05,1,72,0.076,Free,Month-to-Month,EMEA,1,2,0
C00195,11,228.03,1,58,0.216,Starter,Annual,EMEA,0,13,0
C00196,57,73.11,1,43,0.14,Free,Annual,LATAM,1,9,1
C00197,50,98.83,2,40,0.687,Starter,Month-to-Month,NA,0,10,0
C00198,23,45.14,3,24,0.097,Pro,Two-Year,LATAM,0,5,0
C00199,31,89.05,1,15,0.5,Pro,Annual,APAC,0,11,0
C00200,42,182.65,1,58,0.11,Free,Annual,EMEA,0,1,0
C00201,7,149.48,1,57,0.309,Free,Annual,APAC,0,8,0
C00202,16,540.34,3,64,0.265,Starter,Month-to-Month,EMEA,0,4,0
C00203,60,82.14,1,60,0.181,Pro,Annual,NA,0,12,0
C00204,2,90.53,0,68,0.234,Starter,Annual,APAC,0,4,0
C00205,1,6.5,0,11,0.245,Pro,Month-to-Month,LATAM,1,6,0
C00206,48,59.19,2,35,0.201,Free,Two-Year,LATAM,0,9,0
C00207,12,306.29,3,32,0.233,Pro,Month-to-Month,EMEA,0,6,0
C00208,69,51.78,2,3,0.064,Free,Annual,NA,1,4,0
C00209,37,174.35,3,66,0.111,Enterprise,Month-to-Month,NA,1,6,1
C00210,32,455.84,1,29,0.393,Pro,Two-Year,APAC,1,8,0
C00211,9,16.28,0,18,0.058,Free,Month-to-Month,APAC,0,12,0
C00212,19,48.77,0,51,0.229,Pro,Month-to-Month,EMEA,1,10,1
C00213,48,77.18,1,7,0.373,Enterprise,Month-to-Month,APAC,1,9,0
C00214,3,32.52,4,48,0.11,Free,Annual,EMEA,0,2,1
C00215,20,1.5,1,64,0.199,Free,Month-to-Month,LATAM,0,9,1
C00216,24,75.87,0,36,0.136,Free,Month-to-Month,NA,0,8,0
C00217,54,92.3,2,38,0.354,Free,Annual,EMEA,1,9,0
C00218,33,117.84,1,12,0.53,Free,Month-to-Month,EMEA,1,11,0
C00219,24,210.68,0,16,0.574,Starter,Annual,APAC,0,5,0
C00220,36,35.01,1,76,0.504,Free,Annual,APAC,0,9,0
C00221,38,7.56,0,33,0.152,Enterprise,Month-to-Month,LATAM,0,6,0
C00222,25,11.3,1,84,0.262,Starter,Annual,APAC,0,8,0
C00223,18,82.56,2,2,0.525,Starter,Annual,EMEA,1,5,0
C00224,66,306.49,0,57,0.701,Pro,Month-to-Month,APAC,1,1,0
C00225,54,483.5,2,85,0.165,Starter,Month-to-Month,APAC,1,13,0
C00226,35,27.54,0,68,0.278,Pro,Annual,LATAM,1,9,0
C00227,61,19.78,2,0,0.221,Pro,Two-Year,NA,0,4,0
C00228,41,52.34,3,62,0.363,Starter,Annual,NA,0,9,0
C00229,33,74.81,2,28,0.142,Starter,Month-to-Month,NA,0,4,1
C00230,68,198.07,1,28,0.481,Free,Month-to-Month,EMEA,0,14,0
C00231,33,178.79,1,71,0.143,Starter,Month-to-Month,LATAM,1,1,1
C00232,14,307.15,1,1,0.499,Starter,Month-to-Month,NA,0,2,0
C00233,21,234.32,2,39,0.397,Free,Month-to-Month,LATAM,0,11,0
C00234,48,69.32,0,55,0.574,Free,Annual,EMEA,0,8,0
C00235,20,2.3,0,45,0.198,Pro,Month-to-Month,APAC,1,2,1
C00236,8,32.4,1,77,0.129,Free,Month-to-Month,APAC,0,11,0
C00237,7,113.01,1,77,0.478,Starter,Annual,APAC,0,5,0
C00238,67,83.54,2,83,0.21,Free,Annual,NA,0,13,0
C00239,17,32.96,2,68,0.286,Pro,Month-to-Month,APAC,0,8,0
C00240,33,16.93,1,45,0.598,Free,Month-to-Month,LATAM,1,1,0
C00241,48,29.2,0,11,0.133,Starter,Two-Year,EMEA,0,7,0
C00242,59,36.09,2,21,0.577,Starter,Two-Year,NA,0,3,0
C00243,22,242.35,0,34,0.199,Enterprise,Two-Year,APAC,0,10,1
C00244,30,148.65,0,36,0.521,Enterprise,Annual,LATAM,0,5,0
C00245,38,96.44,4,53,0.069,Enterprise,Annual,EMEA,0,11,1
C00246,51,2.54,3,76,0.485,Starter,Annual,LATAM,0,8,0
C00247,54,206.58,0,60,0.326,Pro,Annual,NA,0,9,0
C00248,8,96.48,1,51,0.492,Starter,Month-to-Month,LATAM,1,8,0
C00249,27,118.45,5,53,0.009,Enterprise,Month-to-Month,APAC,0,4,1
C00250,27,8.15,0,6,0.062,Free,Month-to-Month,EMEA,0,0,0
C00251,21,202.39,0,63,0.082,Free,Month-to-Month,NA,1,13,0
C00252,30,214.08,2,4,0.632,Free,Month-to-Month,EMEA,0,12,0
C00253,28,257.82,2,59,0.561,Starter,Annual,EMEA,1,2,0
C00254,64,90.12,0,49,0.103,Free,Annual,APAC,0,6,1
C00255,69,60.11,3,7,0.562,Enterprise,Month-to-Month,EMEA,0,7,0
C00256,61,9.1,2,42,0.601,Starter,Two-Year,APAC,0,8,0
C00257,48,25.86,2,36,0.131,Free,Month-to-Month,LATAM,0,7,0
C00258,19,30.68,0,40,0.287,Free,Month-to-Month,EMEA,0,11,1
C00259,4,7.77,4,34,0.14,Pro,Month-to-Month,NA,1,12,0
C00260,35,20.12,1,87,0.288,Free,Month-to-Month,APAC,0,8,0
C00261,64,261.44,1,65,0.216,Starter,Annual,LATAM,0,9,1
C00262,49,94.6,1,49,0.168,Pro,Month-to-Month,NA,0,5,0
C00263,17,173.52,0,36,0.224,Starter,Month-to-Month,APAC,0,7,1
C00264,44,38.59,0,4,0.265,Free,Month-to-Month,APAC,0,5,0
C00265,30,17.35,4,37,0.208,Pro,Annual,NA,0,14,0
C00266,46,56.07,3,73,0.481,Enterprise,Month-to-Month,LATAM,1,7,0
C00267,6,189.0,1,87,0.094,Free,Month-to-Month,APAC,0,12,1
C00268,37,42.34,2,41,0.072,Free,Month-to-Month,NA,1,5,0
C00269,24,27.46,0,11,0.195,Free,Annual,LATAM,1,5,0
C00270,46,2.72,1,64,0.532,Starter,Annual,NA,0,14,0
C00271,53,117.38,0,56,0.51,Pro,Annual,APAC,0,6,0
C00272,60,68.69,1,65,0.095,Starter,Month-to-Month,LATAM,1,10,0
C00273,63,35.93,0,62,0.088,Starter,Annual,EMEA,0,10,0
C00274,32,88.01,2,0,0.053,Starter,Two-Year,APAC,0,0,0
C00275,33,144.73,0,78,0.022,Starter,Month-to-Month,APAC,0,0,1
C00276,67,34.12,1,50,0.203,Starter,Annual,LATAM,0,11,0
C00277,18,112.62,1,23,0.384,Free,Month-to-Month,EMEA,0,14,0
C00278,25,36.16,4,37,0.222,Starter,Month-to-Month,NA,0,11,1
C00279,54,518.05,1,72,0.276,Starter,Annual,APAC,0,4,1
